epoch,train_loss,valid_loss,dice_score
0,0.586289,0.466779,0.556169
1,0.266799,0.237210,0.744771
2,0.219027,0.204452,0.772301
3,0.211696,0.197261,0.774316
4,0.201352,0.190976,0.783662
5,0.198274,0.186703,0.797121
6,0.197195,0.189834,0.786944
7,0.187683,0.181260,0.793978
8,0.194175,0.185920,0.790111
9,0.194975,0.180347,0.794563
10,0.196092,0.179141,0.798944
11,0.172329,0.168448,0.807247
12,0.180385,0.177410,0.807560
13,0.162344,0.171303,0.808972
14,0.183711,0.163976,0.821502
15,0.167009,0.158760,0.814377
16,0.163148,0.167255,0.808258
17,0.160999,0.161724,0.811550
18,0.157344,0.165484,0.810336
19,0.166746,0.160596,0.811718
20,0.162707,0.163377,0.802800
