epoch,train_loss,valid_loss,dice_score
0,0.081207,0.067843,0.944433
1,0.052939,0.055582,0.949161
2,0.042213,0.042092,0.957715
3,0.042502,0.037151,0.961082
4,0.044964,0.035841,0.961940
5,0.037170,0.037222,0.961950
6,0.038125,0.040212,0.959561
7,0.036350,0.035090,0.962898
8,0.038543,0.035888,0.962188
9,0.050311,0.039538,0.959787
10,0.036962,0.033022,0.965587
11,0.037567,0.035582,0.962394
12,0.035154,0.034726,0.964747
13,0.035775,0.033871,0.964814
14,0.032993,0.033250,0.963714
15,0.036026,0.033157,0.965842
16,0.040185,0.031716,0.966279
17,0.033600,0.035138,0.962945
18,0.036841,0.034499,0.962936
19,0.030889,0.033642,0.963665
20,0.034279,0.037457,0.959705
21,0.032528,0.034969,0.964678
22,0.040780,0.031988,0.966667
23,0.031710,0.033225,0.964818
24,0.030862,0.031941,0.965602
25,0.030352,0.033555,0.963746
26,0.036977,0.035796,0.961143
27,0.040186,0.033503,0.962771
28,0.031256,0.034297,0.962872
29,0.031155,0.032196,0.963944
30,0.038599,0.033388,0.963081
31,0.033821,0.035407,0.962657
32,0.030964,0.034814,0.960663
33,0.029795,0.033411,0.963456
34,0.029643,0.032917,0.963133
35,0.030312,0.030268,0.964424
36,0.030255,0.031260,0.963910
37,0.032226,0.033663,0.961867
38,0.029672,0.032045,0.963627
39,0.030953,0.034907,0.960977
40,0.029507,0.033715,0.961797
41,0.029822,0.033052,0.963692
42,0.042744,0.033747,0.962007
43,0.037470,0.036600,0.956753
44,0.029469,0.031493,0.960709
45,0.028857,0.031845,0.964631
46,0.033513,0.031155,0.960924
47,0.028821,0.034229,0.960063
48,0.038771,0.030962,0.960874
49,0.027584,0.031269,0.960764
50,0.043527,0.032638,0.961213
51,0.028764,0.031434,0.961108
52,0.037793,0.031578,0.960385
53,0.041427,0.031597,0.959550
54,0.031473,0.032185,0.961188
55,0.026741,0.031020,0.961525
56,0.027363,0.033795,0.959637
57,0.026491,0.030871,0.963443
58,0.026685,0.029874,0.962947
59,0.026784,0.036820,0.960766
60,0.026300,0.033042,0.959158
61,0.027539,0.030637,0.962315
62,0.044385,0.030120,0.962572
63,0.042533,0.035230,0.956873
64,0.027310,0.033407,0.960288
65,0.026797,0.030159,0.963138
66,0.026578,0.031190,0.961777
67,0.028528,0.031794,0.960613
68,0.026969,0.034840,0.959510
69,0.025583,0.033067,0.961535
70,0.026153,0.033787,0.961955
71,0.027425,0.033770,0.957870
72,0.027640,0.029790,0.961891
73,0.026998,0.033521,0.961374
74,0.035137,0.031662,0.959455
75,0.025761,0.032606,0.962316
76,0.025513,0.033944,0.964341
77,0.026294,0.029278,0.963543
78,0.027983,0.032394,0.961004
79,0.025122,0.031278,0.962906
80,0.026632,0.029416,0.964351
81,0.027914,0.031765,0.960740
82,0.042624,0.032286,0.961152
83,0.025886,0.033968,0.959974
84,0.024832,0.030917,0.963590
85,0.025174,0.031251,0.959965
86,0.025350,0.031964,0.961944
87,0.023829,0.035029,0.963894
88,0.024898,0.032753,0.960182
89,0.024059,0.031708,0.961803
90,0.026828,0.032936,0.964393
91,0.025191,0.031402,0.963660
92,0.030910,0.030794,0.963708
93,0.026094,0.032806,0.961964
94,0.025540,0.031063,0.963526
95,0.030078,0.030861,0.962445
96,0.024996,0.030682,0.963418
97,0.035396,0.030715,0.965500
98,0.024097,0.032403,0.961415
99,0.024643,0.032355,0.962397
