epoch,train_loss,valid_loss,dice_score
0,0.706891,0.596557,0.506637
1,0.583183,0.461810,0.684012
2,0.488367,0.348672,0.787859
3,0.413114,0.196489,0.885613
4,0.337532,0.136137,0.921448
5,0.283833,0.082882,0.941268
6,0.237052,0.089836,0.947203
7,0.201355,0.057033,0.956306
8,0.171653,0.053702,0.961472
9,0.148157,0.049760,0.964278
10,0.130785,0.047567,0.966058
11,0.114378,0.038455,0.970847
12,0.100928,0.033856,0.973131
13,0.089588,0.040864,0.970525
14,0.081208,0.033470,0.972368
15,0.074932,0.041339,0.960932
16,0.068368,0.039703,0.967446
17,0.062951,0.038138,0.970775
18,0.058855,0.047881,0.967660
