epoch,train_loss,valid_loss,dice_score
0,0.802493,0.786087,0.201799
1,0.730168,0.580245,0.537936
2,0.660264,0.467319,0.683107
3,0.582678,0.272319,0.861104
4,0.493918,0.132143,0.928353
5,0.408667,0.098430,0.940815
6,0.338473,0.054980,0.942464
7,0.285875,0.041971,0.951561
8,0.241336,0.033368,0.962897
9,0.205512,0.028272,0.969164
10,0.175796,0.025356,0.971714
11,0.151934,0.024546,0.972042
12,0.134185,0.035395,0.961472
13,0.122214,0.031415,0.966193
14,0.109678,0.033419,0.965078
15,0.098249,0.024591,0.971326
16,0.087954,0.023474,0.974227
17,0.079225,0.022063,0.975688
18,0.071489,0.020735,0.976020
19,0.064811,0.020474,0.976947
20,0.058979,0.020160,0.975677
21,0.053948,0.023965,0.966933
22,0.050352,0.021267,0.970626
23,0.046753,0.021002,0.975696
24,0.043593,0.018675,0.964437
25,0.040970,0.019317,0.977698
26,0.038249,0.018822,0.962258
27,0.035874,0.019315,0.978437
28,0.034102,0.017636,0.977986
29,0.032438,0.018659,0.972777
30,0.030688,0.018933,0.977902
31,0.029355,0.019400,0.976138
32,0.028016,0.016754,0.979598
33,0.026809,0.016799,0.971227
34,0.025748,0.017688,0.976900
35,0.024940,0.019233,0.976422
36,0.024834,0.205388,0.784174
37,0.068559,0.292908,0.660326
38,0.093010,0.187366,0.786164
