epoch,train_loss,valid_loss,dice_score
0,0.803242,0.700279,0.428095
1,0.667508,0.439696,0.908335
2,0.546610,0.275831,0.951610
3,0.443681,0.181951,0.945215
4,0.360146,0.097325,0.965827
5,0.294133,0.059375,0.969073
6,0.241128,0.044175,0.966138
7,0.201052,0.034848,0.969793
8,0.169262,0.029286,0.971484
9,0.144214,0.030336,0.973333
10,0.123974,0.025423,0.972797
11,0.107938,0.027511,0.967177
12,0.094478,0.025924,0.974335
13,0.083536,0.023323,0.974070
14,0.074177,0.027812,0.974335
15,0.066360,0.037678,0.956847
16,0.061766,0.039535,0.963284
17,0.057536,0.035999,0.967623
18,0.053232,0.106572,0.905714
