epoch,train_loss,valid_loss,dice_score
0,0.582072,0.492598,0.545411
1,0.491430,0.329444,0.654769
2,0.380284,0.168087,0.785004
3,0.299788,0.075140,0.900379
4,0.232918,0.044678,0.941809
5,0.180092,0.037526,0.954127
6,0.139887,0.031417,0.959293
7,0.113057,0.026688,0.968665
8,0.091768,0.034211,0.960601
9,0.081310,0.031732,0.961147
10,0.067697,0.028726,0.967900
11,0.057910,0.021574,0.973193
12,0.056501,0.032114,0.951212
13,0.052015,0.023414,0.972239
14,0.045770,0.024321,0.966262
15,0.041404,0.032116,0.950688
16,0.038990,0.026760,0.971149
17,0.035317,0.021478,0.975084
18,0.032641,0.019389,0.978125
19,0.030393,0.018723,0.978157
20,0.030368,0.045833,0.925384
21,0.061298,0.113254,0.881280
22,0.071069,0.072713,0.923867
23,0.071867,0.059891,0.934417
24,0.071011,0.057756,0.935768
25,0.068093,0.040100,0.956880
