epoch,train_loss,valid_loss,dice_score
0,0.727843,0.575304,0.462867
1,0.587657,0.388793,0.596535
2,0.493504,0.250923,0.712277
3,0.395529,0.191141,0.793623
4,0.325412,0.126234,0.855414
5,0.256192,0.094963,0.880463
6,0.208079,0.065312,0.917457
7,0.169768,0.052728,0.936445
8,0.140881,0.055007,0.935451
9,0.115844,0.033718,0.956820
10,0.094436,0.029381,0.965785
11,0.079579,0.028669,0.968118
12,0.072949,0.032181,0.962768
13,0.063186,0.022757,0.973433
14,0.054313,0.023009,0.970564
15,0.046872,0.023275,0.974861
16,0.046217,0.031833,0.966130
17,0.043223,0.021405,0.976397
18,0.039137,0.020898,0.976709
19,0.035686,0.018980,0.977021
20,0.032423,0.019472,0.976542
21,0.029819,0.039408,0.951472
22,0.030875,0.033101,0.969106
23,0.036528,0.029510,0.970099
24,0.053824,0.125514,0.866211
25,0.067619,0.057805,0.939410
