epoch,train_loss,valid_loss,dice_score
0,0.791047,0.678482,0.344048
1,0.715486,0.619143,0.409379
2,0.673532,0.574185,0.462292
3,0.630881,0.475803,0.519490
4,0.592144,0.470806,0.543953
5,0.556049,0.334344,0.670396
6,0.506885,0.257716,0.738643
7,0.456256,0.211820,0.713015
8,0.415220,0.159252,0.813413
9,0.374855,0.135457,0.839519
10,0.336117,0.115645,0.875420
11,0.297931,0.100280,0.866944
12,0.270293,0.090950,0.868653
13,0.242111,0.086973,0.860056
14,0.221775,0.068422,0.915584
15,0.207269,0.122396,0.817757
16,0.193221,0.124327,0.849043
17,0.179875,0.079741,0.885279
18,0.164626,0.067050,0.897159
19,0.152239,0.057563,0.906637
20,0.138518,0.061823,0.893371
