epoch,train_loss,valid_loss,dice_score
0,0.841862,0.655947,0.479443
1,0.735373,0.542137,0.530273
2,0.664050,0.388742,0.735769
3,0.572042,0.235790,0.871462
4,0.514389,0.136387,0.919271
5,0.450711,0.113005,0.911112
6,0.388785,0.071394,0.934664
7,0.327916,0.062768,0.943498
8,0.287580,0.057212,0.940704
9,0.250622,0.049306,0.950500
10,0.220401,0.048065,0.950421
11,0.194668,0.043226,0.958557
12,0.173263,0.040459,0.962115
13,0.154473,0.042636,0.961101
14,0.140551,0.047948,0.956736
15,0.138112,0.051782,0.952472
16,0.130180,0.058071,0.946694
17,0.129862,0.055652,0.942677
18,0.121282,0.054622,0.945132
