epoch,train_loss,valid_loss,dice_score
0,0.590551,0.445264,0.601982
1,0.480125,0.282377,0.832329
2,0.378773,0.177649,0.904596
3,0.300257,0.098772,0.938957
4,0.223756,0.079116,0.945243
5,0.172434,0.049227,0.957496
6,0.134017,0.037667,0.966453
7,0.111398,0.033278,0.970099
8,0.090083,0.034999,0.969425
9,0.073816,0.029761,0.972707
10,0.069493,0.035014,0.968908
11,0.071869,0.058186,0.943368
12,0.065098,0.040253,0.961655
13,0.059115,0.030848,0.965749
14,0.052145,0.039880,0.950040
15,0.064433,0.040655,0.956508
