epoch,train_loss,valid_loss,dice_score
0,0.981389,0.972244,0.040822
1,0.972732,0.958572,0.072029
2,0.956480,0.944094,0.091586
3,0.949475,0.935013,0.097738
4,0.932047,0.909947,0.149525
5,0.923217,0.878173,0.200601
6,0.900567,0.851936,0.230018
7,0.892345,0.841147,0.247949
8,0.887112,0.816212,0.299831
9,0.855958,0.784641,0.327772
10,0.823405,0.752041,0.391800
11,0.815287,0.709699,0.411260
12,0.793123,0.685535,0.428625
13,0.736142,0.644458,0.522350
14,0.693041,0.606291,0.520318
15,0.682250,0.603969,0.511800
16,0.646790,0.564830,0.539860
17,0.608771,0.512034,0.603674
18,0.595044,0.473550,0.630767
19,0.550232,0.462702,0.644703
20,0.532160,0.473707,0.625836
21,0.511919,0.453245,0.638303
22,0.489154,0.454518,0.638817
23,0.481348,0.450826,0.648849
24,0.477686,0.429062,0.647681
25,0.475740,0.398541,0.672528
26,0.447366,0.351443,0.701121
27,0.429552,0.345729,0.704879
28,0.394996,0.335486,0.714670
29,0.378442,0.332295,0.713677
30,0.370282,0.352264,0.708366
31,0.351323,0.336379,0.716992
32,0.362533,0.336024,0.711298
33,0.369948,0.314528,0.721903
34,0.357947,0.301861,0.738919
35,0.363823,0.297010,0.741902
36,0.369880,0.311656,0.711761
37,0.367474,0.334249,0.722680
38,0.355532,0.281623,0.727505
39,0.350964,0.270154,0.746793
40,0.320126,0.266758,0.760583
41,0.304939,0.270406,0.740501
42,0.307572,0.271538,0.747668
43,0.292064,0.255813,0.756999
44,0.294511,0.265579,0.750204
45,0.307435,0.264902,0.747286
46,0.317084,0.275373,0.752615
