epoch,train_loss,valid_loss,dice_score
0,0.996686,0.992656,0.011089
1,0.995551,0.990431,0.015583
2,0.994219,0.988198,0.018697
3,0.993487,0.986068,0.020405
4,0.991977,0.983090,0.023557
5,0.989701,0.980945,0.028101
6,0.987820,0.976592,0.031841
7,0.985802,0.972591,0.035650
8,0.983422,0.970821,0.036743
9,0.980267,0.968035,0.040854
10,0.978480,0.965270,0.046339
11,0.977278,0.963108,0.049840
12,0.974768,0.959985,0.062684
13,0.974418,0.954175,0.070326
14,0.972766,0.948103,0.080503
15,0.969312,0.944729,0.077762
16,0.967908,0.937520,0.092484
17,0.965602,0.932081,0.098956
18,0.964581,0.924522,0.098384
19,0.960769,0.918398,0.105430
20,0.958198,0.915775,0.109319
21,0.955725,0.930160,0.089126
22,0.952984,0.905004,0.123994
23,0.955983,1.000000,0.000005
24,0.958723,0.999981,0.000050
25,0.961237,0.999925,0.000042
26,0.963530,0.999728,0.000100
27,0.965630,0.952624,0.056853
28,0.967297,0.930924,0.088248
