epoch,train_loss,valid_loss,dice_score,time
0,0.992504,0.993856,0.013552,00:16
1,0.993367,0.992600,0.018531,00:14
2,0.994968,0.991365,0.019305,00:15
3,0.995178,0.989926,0.018411,00:14
4,0.994839,0.987712,0.021128,00:15
5,0.991757,0.983956,0.025427,00:15
6,0.992081,0.980804,0.028831,00:15
7,0.986302,0.977879,0.032988,00:15
8,0.982835,0.975402,0.035492,00:15
9,0.983236,0.972876,0.039355,00:15
10,0.981196,0.970373,0.043297,00:15
11,0.978086,0.969227,0.044511,00:15
12,0.977236,0.968128,0.045110,00:15
13,0.976106,0.964174,0.052582,00:15
14,0.973107,0.958600,0.069320,00:15
15,0.970754,0.953201,0.080784,00:15
16,0.964368,0.950467,0.080461,00:15
17,0.964522,0.946681,0.093265,00:15
18,0.965059,0.942959,0.090266,00:15
19,0.960806,0.937087,0.101594,00:15
20,0.955942,0.933453,0.111894,00:15
21,0.952927,0.943747,0.079825,00:14
22,0.949322,0.941068,0.086089,00:15
23,0.945733,0.933911,0.099752,00:15
24,0.942623,0.936099,0.090214,00:15
25,0.936576,0.929925,0.102236,00:15
26,0.937773,0.928824,0.101737,00:15
