epoch,train_loss,valid_loss,dice_score
0,0.994034,0.992009,0.014726
1,0.991390,0.989799,0.016842
2,0.990921,0.987551,0.018081
3,0.989658,0.983925,0.022140
4,0.987579,0.979258,0.027992
5,0.985060,0.975098,0.031763
6,0.982503,0.970912,0.036286
7,0.977909,0.965423,0.046127
8,0.973521,0.956618,0.070817
9,0.968986,0.945378,0.082541
10,0.964213,0.929879,0.111948
11,0.957371,0.913898,0.130371
12,0.944427,0.886607,0.151467
13,0.926739,0.860311,0.249206
14,0.911772,0.840921,0.186219
15,0.902830,0.847620,0.198212
16,0.897624,0.813013,0.247405
17,0.885278,0.761806,0.300285
18,0.874023,0.752604,0.269618
19,0.854211,0.721833,0.308485
20,0.838604,0.694990,0.332805
21,0.822682,0.711711,0.365458
22,0.810661,0.702649,0.316294
23,0.798909,0.562075,0.478106
24,0.772308,0.506859,0.492448
25,0.743543,0.430749,0.557783
26,0.707111,0.473674,0.507156
27,0.665289,0.366593,0.600443
28,0.640900,0.361238,0.590109
29,0.612348,0.385437,0.577084
30,0.595098,0.362840,0.584934
31,0.584355,0.366707,0.591641
32,0.570661,0.372047,0.591074
33,0.550448,0.330300,0.618771
34,0.515378,0.328751,0.627424
35,0.509767,0.325900,0.637013
36,0.480891,0.319720,0.634646
37,0.467640,0.310594,0.637777
38,0.475543,0.332585,0.620075
39,0.466227,0.314284,0.643305
40,0.445384,0.298794,0.645250
41,0.423888,0.298349,0.662954
42,0.410998,0.339739,0.631574
43,0.405696,0.315617,0.662226
44,0.397667,0.286018,0.679486
45,0.381495,0.270295,0.689860
46,0.374529,0.272920,0.691574
47,0.361194,0.271542,0.689265
48,0.347023,0.267671,0.694674
49,0.338075,0.259729,0.698764
50,0.344072,0.255597,0.704376
51,0.333053,0.248679,0.708894
52,0.315628,0.242387,0.717174
53,0.309256,0.240849,0.723041
54,0.298935,0.242551,0.719545
55,0.294161,0.237306,0.719791
56,0.290383,0.238764,0.724995
57,0.281543,0.251714,0.721681
58,0.290437,0.257304,0.709833
59,0.297304,0.242037,0.719567
60,0.306704,0.235756,0.725533
61,0.314007,0.231651,0.736809
62,0.314930,0.227121,0.740013
63,0.309739,0.231232,0.742190
64,0.311872,0.229255,0.747012
65,0.314427,0.220975,0.748026
66,0.304776,0.215938,0.750770
67,0.303900,0.224596,0.752523
68,0.302652,0.217070,0.754778
69,0.287435,0.221709,0.753123
70,0.289784,0.216886,0.751461
71,0.297804,0.217821,0.756759
72,0.298157,0.214659,0.758066
73,0.293860,0.211915,0.759714
74,0.282658,0.217751,0.755802
75,0.275279,0.215671,0.756957
76,0.263636,0.217367,0.758978
77,0.256629,0.207865,0.763994
78,0.255483,0.209559,0.761208
79,0.262386,0.212923,0.764491
80,0.260144,0.211396,0.765922
81,0.266581,0.209589,0.765099
82,0.263157,0.212439,0.763847
83,0.257110,0.211407,0.763644
84,0.252145,0.207141,0.764198
85,0.248795,0.208203,0.764895
86,0.255875,0.210186,0.764432
