epoch,train_loss,valid_loss,dice_score
0,0.992467,0.981640,0.026480
1,0.982932,0.956583,0.074963
2,0.969967,0.921521,0.218775
3,0.951028,0.869107,0.428736
4,0.923723,0.774247,0.405301
5,0.876630,0.687226,0.453776
6,0.821208,0.565940,0.543908
7,0.768341,0.557541,0.484555
8,0.725860,0.565869,0.471822
9,0.679627,0.472298,0.542755
10,0.661546,0.413941,0.586589
11,0.612188,0.395463,0.605763
12,0.574960,0.365914,0.639195
13,0.545414,0.361758,0.648616
14,0.515746,0.337764,0.673221
15,0.484688,0.337826,0.678079
16,0.456282,0.372526,0.664893
17,0.445940,0.334161,0.699617
18,0.439148,0.323459,0.710248
19,0.417369,0.304986,0.728077
20,0.389485,0.291152,0.737662
21,0.379034,0.342506,0.684262
22,0.397992,0.496261,0.479206
23,0.404036,0.403178,0.611053
24,0.399992,0.316954,0.680063
25,0.390229,0.299128,0.697236
26,0.384404,0.288272,0.708697
