epoch,train_loss,valid_loss,dice_score
0,0.982956,0.960962,0.208695
1,0.973791,0.938938,0.388110
2,0.960858,0.922210,0.489171
3,0.944665,0.900205,0.456008
4,0.931218,0.861845,0.568035
5,0.912175,0.793548,0.680918
6,0.889452,0.664441,0.581343
7,0.833351,0.476055,0.668664
8,0.744881,0.332742,0.694891
9,0.675030,0.267260,0.718096
10,0.615623,0.244527,0.733521
11,0.553685,0.263749,0.715075
12,0.511512,0.554763,0.439119
13,0.497144,0.319011,0.649608
14,0.473595,0.273155,0.693577
15,0.454174,0.260889,0.711961
16,0.432355,0.256328,0.712056
