epoch,train_loss,valid_loss,dice_score
0,0.550744,0.453783,0.617470
1,0.382902,0.119044,0.913136
2,0.266281,0.087158,0.909046
3,0.204088,0.063101,0.916142
4,0.167531,0.064933,0.924133
5,0.140028,0.051755,0.931066
6,0.119630,0.054469,0.935508
7,0.103586,0.052269,0.939552
8,0.094897,0.054380,0.943658
9,0.085155,0.046790,0.948339
10,0.077215,0.068277,0.932854
11,0.072067,0.048432,0.951030
12,0.067635,0.041847,0.945794
13,0.061846,0.043588,0.954132
14,0.058520,0.043584,0.952308
15,0.057437,0.059008,0.944065
16,0.075992,0.078216,0.900748
17,0.076929,0.071209,0.928098
18,0.072622,0.048783,0.945263
19,0.069602,0.044295,0.944037
