epoch,train_loss,valid_loss,dice_score
0,0.529034,0.392450,0.635297
1,0.432791,0.259856,0.788397
2,0.325024,0.140639,0.864799
3,0.247571,0.103854,0.893662
4,0.194240,0.075894,0.921763
5,0.159937,0.068061,0.924402
6,0.135758,0.061452,0.933513
7,0.117583,0.056870,0.937764
8,0.104558,0.059318,0.938650
9,0.095484,0.052714,0.943550
10,0.087038,0.044425,0.948816
11,0.077631,0.039531,0.953732
12,0.071813,0.043056,0.952012
13,0.069649,0.051507,0.943001
14,0.067738,0.048418,0.947545
15,0.211997,0.999998,0.000000
16,0.407725,0.999998,0.000000
17,0.554539,0.999998,0.000000
