epoch,train_loss,valid_loss,dice_score
0,0.577922,0.443367,0.636568
1,0.488810,0.392771,0.647565
2,0.426012,0.268609,0.777404
3,0.373184,0.349813,0.691627
4,0.368378,0.155222,0.850898
5,0.352059,0.206906,0.803957
6,0.314268,0.096318,0.880382
7,0.272032,0.070017,0.913897
8,0.239650,0.073812,0.914163
9,0.213271,0.068828,0.917715
10,0.190123,0.063272,0.924289
11,0.171815,0.059691,0.917026
12,0.156882,0.064643,0.929107
13,0.141789,0.055710,0.919408
14,0.129669,0.060917,0.933619
15,0.120313,0.079026,0.931524
16,0.112111,0.057621,0.939102
17,0.105273,0.054558,0.939777
18,0.098750,0.056123,0.940592
19,0.094421,0.059307,0.922431
20,0.091003,0.060189,0.930792
21,0.086170,0.056411,0.929858
22,0.081794,0.052704,0.942249
23,0.077995,0.050913,0.945108
24,0.075071,0.046709,0.944545
25,0.071624,0.051687,0.951114
26,0.069951,0.074997,0.944378
27,0.081961,0.099628,0.866564
28,0.085020,0.100893,0.907529
29,0.087831,0.118794,0.901160
30,0.087804,0.072649,0.919443
31,0.085168,0.066007,0.931812
