epoch,train_loss,valid_loss,dice_score
0,0.694528,0.565345,0.552942
1,0.632445,0.483652,0.652686
2,0.583992,0.384838,0.799737
3,0.524455,0.266923,0.841059
4,0.464166,0.201586,0.806805
5,0.428691,0.267557,0.682784
6,0.395214,0.183365,0.845067
7,0.351816,0.138158,0.847934
8,0.318182,0.099985,0.884436
9,0.285871,0.078985,0.893488
10,0.258932,0.090271,0.901248
11,0.234784,0.073397,0.917867
12,0.216082,0.202756,0.729117
13,0.210777,0.071823,0.870652
14,0.196311,0.070738,0.896505
15,0.184051,0.100297,0.895071
16,0.170143,0.064379,0.921250
17,0.158127,0.089525,0.915837
18,0.146719,0.063675,0.926885
19,0.136967,0.054200,0.936921
20,0.127377,0.077761,0.929386
21,0.119434,0.056586,0.939820
22,0.110931,0.065750,0.937331
23,0.105026,0.070449,0.934712
24,0.100295,0.051175,0.943652
25,0.097113,0.207535,0.721514
26,0.191659,0.999998,0.000000
27,0.300330,0.999999,0.000000
28,0.394152,0.999999,0.000000
29,0.475212,0.999999,0.000000
30,0.545293,0.999999,0.000000
