epoch,train_loss,valid_loss,dice_score,time
0,0.859704,0.890797,0.485212,00:39
1,0.840874,0.834156,0.469080,00:35
2,0.821207,0.763433,0.476449,00:35
3,0.808890,0.735233,0.510458,00:34
4,0.798536,0.728965,0.512357,00:33
5,0.790385,0.687890,0.517744,00:36
6,0.782637,0.649540,0.541001,00:39
7,0.771946,0.600834,0.571602,00:35
8,0.759993,0.602458,0.593544,00:42
9,0.743242,0.569974,0.606061,00:34
10,0.726765,0.504660,0.763229,00:39
11,0.699935,0.556703,0.492939,00:36
12,0.670772,0.491731,0.810853,00:31
13,0.628945,0.329833,0.893299,00:39
14,0.571918,0.135112,0.894197,00:32
15,0.506812,0.117493,0.894815,00:37
16,0.442631,0.107014,0.889044,00:33
17,0.381327,0.084174,0.943779,00:34
18,0.328653,0.075823,0.926501,00:39
19,0.283688,0.107676,0.922034,00:31
20,0.246249,0.068543,0.950521,00:32
21,0.213947,0.051459,0.950826,00:39
22,0.186780,0.064724,0.951883,00:34
23,0.163388,0.064227,0.951501,00:38
24,0.143881,0.045184,0.962985,00:34
25,0.126753,0.044545,0.950498,00:34
26,0.113711,0.044816,0.962291,00:42
27,0.102008,0.043059,0.963827,00:33
28,0.092517,0.036920,0.966195,00:36
29,0.083763,0.039894,0.965151,00:37
30,0.077014,0.037538,0.963996,00:39
31,0.070819,0.047364,0.961585,00:33
32,0.065403,0.045957,0.958409,00:33
33,0.060548,0.043726,0.963423,00:38
34,0.057380,0.040604,0.962946,00:34
