epoch,train_loss,valid_loss,dice_score
0,0.577694,0.445896,0.607669
1,0.490690,0.415023,0.664677
2,0.426175,0.298986,0.765482
3,0.364923,0.234598,0.811270
4,0.322800,0.186764,0.837337
5,0.285630,0.123517,0.887694
6,0.244699,0.121415,0.887735
7,0.214786,0.097703,0.909855
8,0.190434,0.114493,0.915697
9,0.169281,0.094697,0.925553
10,0.154677,0.088997,0.930281
11,0.141356,0.097568,0.929467
12,0.130047,0.077680,0.933216
13,0.121057,0.097107,0.934134
14,0.111670,0.069933,0.939853
15,0.104208,0.073546,0.945017
16,0.097455,0.072738,0.946686
17,0.091239,0.066213,0.950126
18,0.085648,0.061990,0.944839
19,0.083556,0.090828,0.922247
20,0.146837,0.477639,0.540412
21,0.183668,0.419881,0.622718
22,0.211307,0.416099,0.639013
23,0.233280,0.363808,0.663391
