epoch,train_loss,valid_loss,dice_score
0,0.986182,0.979081,0.029043
1,0.976801,0.971613,0.038477
2,0.970832,0.958015,0.058373
3,0.963496,0.950388,0.066090
4,0.954952,0.938405,0.084181
5,0.946315,0.915272,0.118496
6,0.937564,0.905098,0.122075
7,0.924694,0.882739,0.153456
8,0.914040,0.846702,0.214375
9,0.885363,0.824513,0.231121
10,0.861201,0.796088,0.264684
11,0.835468,0.752120,0.323809
12,0.812678,0.745468,0.316679
13,0.782298,0.694949,0.426470
14,0.748096,0.650826,0.420163
15,0.737018,0.612016,0.488572
16,0.697400,0.544744,0.548760
17,0.651846,0.533137,0.542060
18,0.624203,0.480420,0.601881
19,0.603594,0.430079,0.675206
20,0.553724,0.404155,0.694256
21,0.528672,0.392469,0.680101
22,0.503539,0.360958,0.708936
23,0.476908,0.362070,0.691695
24,0.461552,0.330557,0.735084
25,0.416971,0.317456,0.733457
26,0.409144,0.296501,0.752187
27,0.397287,0.285728,0.758798
28,0.373239,0.259394,0.773843
29,0.355738,0.254344,0.785003
30,0.326365,0.243278,0.792106
31,0.318902,0.246066,0.786910
32,0.296744,0.235708,0.791587
33,0.291328,0.227248,0.796549
34,0.287115,0.221283,0.800778
35,0.270473,0.203975,0.813802
36,0.272747,0.202977,0.814394
37,0.263379,0.208898,0.814121
38,0.278246,0.226064,0.788843
39,0.278201,0.213218,0.805589
40,0.270157,0.196806,0.822050
41,0.276626,0.199597,0.816244
42,0.274239,0.203878,0.807096
43,0.273840,0.190967,0.823890
44,0.263918,0.188498,0.824898
45,0.261160,0.180217,0.834418
46,0.256263,0.188127,0.821458
47,0.254662,0.182308,0.817517
48,0.248367,0.183340,0.824051
49,0.247392,0.182529,0.822216
50,0.240345,0.173380,0.840221
51,0.225230,0.174402,0.831912
52,0.236423,0.165831,0.835163
53,0.236377,0.170759,0.834118
54,0.228860,0.178239,0.818428
55,0.234305,0.184624,0.828194
56,0.229425,0.174215,0.835735
