epoch,train_loss,valid_loss,dice_score,time
0,0.997813,0.993874,0.010121,00:42
1,0.995592,0.990096,0.014756,00:41
2,0.991877,0.984735,0.022003,00:41
3,0.987786,0.980818,0.026574,00:41
4,0.984668,0.976669,0.032633,00:42
5,0.980889,0.972981,0.037043,00:42
6,0.979048,0.969670,0.040574,00:41
7,0.975640,0.958331,0.060134,00:41
8,0.972236,0.956229,0.059993,00:42
9,0.966948,0.949860,0.066023,00:42
10,0.960924,0.935927,0.082464,00:41
11,0.956898,0.906036,0.134581,00:42
12,0.951337,0.918300,0.106730,00:41
13,0.943140,0.894213,0.133333,00:42
14,0.940021,0.886157,0.145901,00:41
15,0.931130,0.867984,0.163209,00:42
16,0.914951,0.874243,0.153879,00:41
17,0.903362,0.817219,0.227660,00:42
18,0.881784,0.802010,0.243635,00:42
19,0.869997,0.784522,0.262645,00:42
20,0.853318,0.867791,0.395806,00:41
21,0.847488,0.699604,0.351170,00:41
22,0.827187,0.670203,0.395371,00:41
23,0.795814,0.589077,0.505931,00:42
24,0.776183,0.576657,0.554915,00:41
25,0.751096,0.521789,0.542347,00:41
26,0.723335,0.497499,0.613000,00:41
27,0.681487,0.469234,0.619048,00:41
28,0.653942,0.529542,0.540168,00:41
29,0.627747,0.420209,0.636509,00:41
30,0.599977,0.408220,0.652287,00:41
31,0.565413,0.367131,0.705530,00:41
32,0.560779,0.359436,0.707559,00:41
33,0.534097,0.343241,0.711703,00:41
34,0.529003,0.327710,0.727734,00:41
35,0.507582,0.325652,0.727599,00:41
36,0.481941,0.319771,0.733930,00:41
37,0.460594,0.312998,0.748453,00:41
38,0.436213,0.310431,0.746262,00:41
39,0.430118,0.305500,0.754032,00:41
40,0.409166,0.297207,0.760644,00:41
41,0.396310,0.290208,0.762057,00:41
42,0.383247,0.287093,0.767764,00:41
43,0.374423,0.287295,0.765450,00:41
44,0.374951,0.286463,0.765788,00:41
45,0.383126,0.284522,0.768283,00:41
46,0.379535,0.282799,0.770153,00:41
47,0.380254,0.282215,0.770458,00:42
48,0.373024,0.281837,0.770918,00:41
49,0.377570,0.281792,0.771038,00:41
