epoch,train_loss,valid_loss,dice_score,time
0,0.993019,0.991345,0.045528,00:44
1,0.984868,0.969553,0.141833,00:42
2,0.972818,0.945418,0.509097,00:43
3,0.946010,0.922742,0.598272,00:43
4,0.929740,0.869921,0.669910,00:44
5,0.883095,0.790427,0.737874,00:43
6,0.805176,0.543943,0.715768,00:43
7,0.709635,0.446126,0.707493,00:43
8,0.643439,0.402211,0.712344,00:43
9,0.583955,0.323149,0.748663,00:44
10,0.536941,0.434187,0.699836,00:43
11,0.488405,0.308965,0.754883,00:43
12,0.448960,0.295921,0.782425,00:44
13,0.410894,0.461423,0.729678,00:43
14,0.429859,0.441701,0.625572,00:44
15,0.403886,0.301740,0.773891,00:43
16,0.380160,0.256155,0.806440,00:43
17,0.350492,0.250007,0.801949,00:43
18,0.334097,0.259899,0.814337,00:43
19,0.310910,0.241635,0.826235,00:43
20,0.292597,0.257729,0.816329,00:43
21,0.281968,0.229896,0.832975,00:43
22,0.263294,0.212356,0.836456,00:43
23,0.254037,0.226230,0.817148,00:43
24,0.240594,0.208491,0.841735,00:43
25,0.226073,0.215697,0.847738,00:43
26,0.224530,0.224101,0.845781,00:44
27,0.212938,0.207290,0.852836,00:43
28,0.208513,0.208721,0.854081,00:43
29,0.208051,0.209018,0.852416,00:43
30,0.202219,0.210817,0.852043,00:43
31,0.199640,0.206948,0.856228,00:43
32,0.196023,0.210904,0.854419,00:43
33,0.191330,0.209947,0.854766,00:43
34,0.191824,0.217814,0.845661,00:43
35,0.191108,0.212760,0.852908,00:43
36,0.186787,0.197314,0.861014,00:43
37,0.188159,0.220252,0.851809,00:43
38,0.180598,0.200397,0.860851,00:43
39,0.178917,0.200796,0.860986,00:43
40,0.172920,0.204293,0.860763,00:43
41,0.169295,0.211194,0.854933,00:43
42,0.165598,0.201615,0.859074,00:43
