epoch,train_loss,valid_loss,dice_score,time
0,0.993489,0.992786,0.010064,00:20
1,0.993187,0.990798,0.013113,00:19
2,0.991470,0.988091,0.015912,00:19
3,0.991781,0.984325,0.019908,00:20
4,0.990748,0.980698,0.023445,00:20
5,0.989123,0.976968,0.026318,00:20
6,0.988417,0.973826,0.028283,00:20
7,0.984798,0.970141,0.032123,00:20
8,0.982787,0.966887,0.036417,00:20
9,0.981221,0.963603,0.038235,00:20
10,0.979983,0.958462,0.043466,00:20
11,0.975442,0.952800,0.049405,00:20
12,0.974078,0.947087,0.059304,00:20
13,0.972881,0.962122,0.036402,00:20
14,0.971654,0.949866,0.048129,00:20
15,0.971000,0.943524,0.057278,00:20
16,0.969518,0.943504,0.054937,00:20
17,0.969700,0.932994,0.076814,00:20
18,0.969819,0.924972,0.104527,00:20
19,0.965691,0.910200,0.099795,00:20
20,0.961437,0.903510,0.104888,00:20
21,0.957685,0.899944,0.105022,00:20
22,0.953758,0.914967,0.081504,00:20
23,0.950192,0.895894,0.108406,00:20
24,0.942609,0.891123,0.108865,00:20
25,0.935813,0.876568,0.125334,00:20
26,0.929670,0.868982,0.160256,00:20
27,0.923805,0.877364,0.122413,00:20
28,0.919495,0.860058,0.157747,00:20
29,0.919574,0.838420,0.164470,00:20
30,0.911903,0.842886,0.159784,00:20
31,0.905943,0.832776,0.237023,00:20
32,0.905527,0.830791,0.170957,00:20
33,0.903980,0.832764,0.185120,00:20
34,0.903683,0.802218,0.215320,00:20
35,0.897295,0.807660,0.245296,00:20
36,0.897806,0.794305,0.217866,00:20
37,0.895670,0.793846,0.228907,00:20
38,0.888263,0.781937,0.272882,00:20
39,0.884957,0.766113,0.256066,00:20
40,0.880949,0.769225,0.247004,00:20
41,0.877826,0.772907,0.265913,00:20
42,0.870821,0.766018,0.284532,00:20
43,0.865633,0.748410,0.288463,00:20
44,0.855022,0.736751,0.303889,00:20
45,0.851870,0.730986,0.314579,00:20
46,0.844368,0.729877,0.316856,00:20
47,0.840956,0.729776,0.316429,00:20
48,0.836331,0.730027,0.315133,00:20
49,0.833043,0.730076,0.314969,00:20
