epoch,train_loss,valid_loss,dice_score,time
0,0.996439,0.991902,0.010948,00:10
1,0.996092,0.991190,0.012176,00:10
2,0.995401,0.990037,0.013673,00:09
3,0.992748,0.986990,0.017076,00:10
4,0.992430,0.977880,0.026786,00:10
5,0.992614,0.961233,0.045220,00:10
6,0.989605,0.943244,0.051497,00:10
7,0.978935,0.951571,0.264248,00:10
8,0.977920,0.931774,0.064298,00:10
9,0.976240,0.890897,0.091645,00:09
10,0.971513,0.863732,0.114852,00:10
11,0.968196,0.810091,0.164369,00:10
12,0.967659,0.709903,0.334169,00:09
13,0.966858,0.999899,0.000000,00:10
14,0.969383,0.999864,0.000000,00:10
15,0.971592,0.999551,0.000037,00:10
16,0.973510,0.998338,0.003272,00:18
17,0.975139,0.997415,0.004415,00:18
18,0.976360,0.996858,0.004507,00:18
