epoch,train_loss,valid_loss,dice_score
0,0.984547,0.966558,0.223097
1,0.956518,0.928841,0.406474
2,0.935548,0.912181,0.673409
3,0.917603,0.860266,0.622013
4,0.896589,0.813283,0.530918
5,0.859381,0.732875,0.765180
6,0.818562,0.603990,0.671303
7,0.755253,0.441147,0.752124
8,0.690523,0.403165,0.711121
9,0.623008,0.327408,0.736106
10,0.578600,0.277912,0.754226
11,0.524710,0.249254,0.780150
12,0.479431,0.247356,0.780966
13,0.432600,0.217830,0.812540
14,0.400462,0.231129,0.802266
15,0.380327,0.243234,0.800017
16,0.350398,0.194582,0.823694
17,0.325662,0.175473,0.830885
18,0.309895,0.180661,0.827361
19,0.300496,0.186247,0.834090
20,0.283197,0.182359,0.839857
21,0.266390,0.161389,0.840126
22,0.254172,0.209060,0.814123
23,0.259296,0.267597,0.766791
24,0.261702,0.190565,0.819985
25,0.253385,0.201537,0.814368
26,0.254437,0.165356,0.838273
27,0.244807,0.164422,0.836860
