epoch,train_loss,valid_loss,dice_score
0,0.983378,0.976922,0.182463
1,0.962079,0.960980,0.570348
2,0.955561,0.951342,0.292974
3,0.941635,0.930247,0.712915
4,0.922713,0.904366,0.439892
5,0.902994,0.829287,0.705156
6,0.860825,0.721675,0.732327
7,0.801083,0.540474,0.750379
8,0.718577,0.407667,0.687039
9,0.647056,0.304352,0.769069
10,0.578362,0.321170,0.790499
11,0.523827,0.281024,0.796340
12,0.466138,0.238123,0.823148
13,0.433209,0.248079,0.819726
14,0.398509,0.211193,0.836410
15,0.371394,0.271827,0.803915
16,0.342856,0.214552,0.836415
17,0.323391,0.207970,0.844620
18,0.300496,0.247159,0.787672
19,0.290947,0.256563,0.802800
20,0.297504,0.230654,0.814115
21,0.290495,0.228025,0.825927
22,0.271560,0.233849,0.817516
23,0.262622,0.214955,0.835163
