epoch,train_loss,valid_loss,dice_score,time
0,0.998210,0.995390,0.006966,00:31
1,0.996327,0.993046,0.010169,00:30
2,0.995169,0.989577,0.014931,00:31
3,0.993347,0.984050,0.023203,00:31
4,0.990640,0.978908,0.028572,00:31
5,0.989340,0.975063,0.034116,00:31
6,0.985618,0.972138,0.037859,00:31
7,0.982952,0.968587,0.042339,00:31
8,0.980415,0.964226,0.048035,00:31
9,0.978300,0.955494,0.061597,00:31
10,0.974079,0.958620,0.052628,00:31
11,0.971866,0.940947,0.094169,00:31
12,0.970193,0.956471,0.054956,00:32
13,0.965926,0.939351,0.075914,00:31
14,0.964368,0.945540,0.066793,00:31
15,0.962109,0.915273,0.113832,00:31
16,0.957072,0.904599,0.133354,00:31
17,0.946674,0.915766,0.105307,00:31
18,0.936078,0.889523,0.134432,00:31
19,0.927495,0.839012,0.199679,00:31
20,0.927110,0.859624,0.211272,00:31
21,0.922469,0.845060,0.187808,00:31
22,0.909619,0.818669,0.247009,00:31
23,0.905804,0.835879,0.199599,00:31
24,0.901212,0.785450,0.253394,00:31
25,0.888540,0.809349,0.279949,00:31
26,0.873128,0.782949,0.269944,00:31
27,0.856163,0.735652,0.354019,00:31
28,0.846109,0.773695,0.292617,00:31
29,0.834552,0.704729,0.353245,00:31
30,0.838546,0.681892,0.391151,00:31
31,0.825510,0.682348,0.410721,00:31
32,0.821014,0.671562,0.438410,00:31
33,0.804574,0.661579,0.415573,00:31
34,0.790731,0.629501,0.493275,00:31
35,0.773688,0.620728,0.488266,00:31
36,0.758482,0.590786,0.498864,00:31
37,0.740645,0.569896,0.517299,00:31
38,0.736251,0.553590,0.537093,00:31
39,0.717366,0.550914,0.555944,00:31
40,0.707045,0.529275,0.573125,00:31
41,0.692995,0.525493,0.555667,00:31
42,0.682034,0.528426,0.561514,00:31
43,0.679160,0.523561,0.586336,00:31
44,0.675915,0.521941,0.595785,00:31
45,0.666584,0.508980,0.590070,00:31
46,0.663652,0.506944,0.583258,00:31
47,0.648345,0.505986,0.582080,00:31
48,0.646815,0.505314,0.582995,00:31
49,0.640939,0.505133,0.583366,00:31
