epoch,train_loss,valid_loss,dice_score
0,0.992177,0.983819,0.025005
1,0.986933,0.964813,0.047673
2,0.977718,0.934841,0.108064
3,0.961517,0.878253,0.410671
4,0.946361,0.785259,0.380565
5,0.900700,0.671463,0.491803
6,0.859941,0.514340,0.629412
7,0.818528,0.395284,0.631608
8,0.761689,0.385183,0.650378
9,0.689107,0.307182,0.692715
10,0.626504,0.284891,0.710777
11,0.569483,0.326633,0.693603
12,0.535494,0.290235,0.695031
13,0.500066,0.232946,0.758963
14,0.473652,0.213371,0.760648
15,0.441779,0.275031,0.679996
16,0.418940,0.199648,0.776843
17,0.388413,0.205619,0.786178
18,0.371715,0.208654,0.777988
19,0.355935,0.268785,0.741925
20,0.343032,0.250497,0.713028
21,0.351598,0.330797,0.678729
22,0.348926,0.246437,0.724504
23,0.348890,0.219220,0.745182
