epoch,train_loss,valid_loss,dice_score,time
0,0.996765,0.992906,0.011335,01:17
1,0.992238,0.985430,0.021454,01:15
2,0.987208,0.979958,0.027689,01:16
3,0.981706,0.974647,0.034849,01:17
4,0.977303,0.968871,0.042441,01:16
5,0.972280,0.962537,0.050985,01:19
6,0.966826,0.950351,0.064767,01:16
7,0.956787,0.925079,0.108614,01:17
8,0.947950,0.898441,0.138985,01:17
9,0.923400,0.890456,0.133488,01:14
10,0.903119,0.870341,0.151872,01:12
11,0.883816,0.816505,0.260380,01:14
12,0.856534,0.736291,0.334058,01:16
13,0.817652,0.723114,0.355094,01:17
14,0.791334,0.714180,0.454724,01:17
15,0.753629,0.559154,0.509327,01:15
16,0.687054,0.499409,0.578420,01:16
17,0.631798,0.455659,0.610893,01:17
18,0.601388,0.401107,0.653381,01:15
19,0.577899,0.382748,0.653837,01:16
20,0.521274,0.332265,0.715029,01:17
21,0.483839,0.329897,0.729794,01:15
22,0.464406,0.310177,0.727333,01:14
23,0.431802,0.276156,0.764689,01:15
24,0.407036,0.263154,0.773997,01:15
25,0.378632,0.260623,0.775230,01:16
26,0.373715,0.246297,0.786357,01:15
27,0.348578,0.241903,0.791677,01:14
28,0.333436,0.242170,0.790862,01:14
29,0.318978,0.239082,0.786128,01:15
30,0.297659,0.225224,0.802152,01:15
31,0.294382,0.217648,0.798334,01:14
32,0.275179,0.214820,0.806340,01:15
33,0.273171,0.213482,0.804783,01:16
34,0.262994,0.205163,0.815507,01:15
35,0.247939,0.198173,0.815749,01:16
36,0.253584,0.200235,0.816997,01:18
37,0.253997,0.196672,0.820263,01:15
38,0.255688,0.191580,0.822572,01:15
39,0.249767,0.189313,0.823959,01:15
40,0.242865,0.188926,0.824128,01:16
41,0.246824,0.186333,0.826850,01:16
42,0.245727,0.185260,0.828267,01:11
43,0.247419,0.184802,0.827597,01:13
44,0.237611,0.184151,0.827421,01:14
45,0.243866,0.183427,0.828270,01:15
46,0.243857,0.183587,0.828277,01:14
47,0.245052,0.184066,0.828168,01:15
48,0.239226,0.184048,0.828256,01:16
49,0.240829,0.184043,0.828251,01:16
