epoch,train_loss,valid_loss,dice_score
0,0.904348,0.762237,0.464806
1,0.898626,0.803311,0.332481
2,0.816398,0.539073,0.622615
3,0.694074,0.367541,0.673102
4,0.638610,0.997074,0.001121
5,0.634006,0.477080,0.571850
6,0.637762,0.354209,0.633954
7,0.604843,0.324947,0.642471
8,0.534982,0.297935,0.672121
9,0.469851,0.241702,0.734645
10,0.431408,0.255361,0.715527
11,0.381294,0.210241,0.759928
12,0.352256,0.197892,0.778246
13,0.312927,0.197387,0.790478
14,0.300682,0.199431,0.780192
15,0.272033,0.178420,0.804473
16,0.265159,0.169826,0.811259
17,0.251375,0.156202,0.819426
18,0.248316,0.153657,0.832279
19,0.239631,0.145313,0.840371
20,0.230947,0.135807,0.841075
21,0.216156,0.150690,0.846847
22,0.208468,0.142988,0.842622
23,0.207846,0.161181,0.820333
24,0.216191,0.175828,0.819407
25,0.216153,0.129941,0.848017
26,0.219204,0.146924,0.837694
27,0.206297,0.124284,0.854078
28,0.196828,0.135716,0.834511
29,0.203405,0.126853,0.857131
30,0.200004,0.133273,0.844366
31,0.193948,0.135841,0.854703
32,0.186017,0.127402,0.853760
33,0.176656,0.132726,0.856690
34,0.173831,0.124557,0.861195
35,0.171352,0.121433,0.867391
36,0.171159,0.126730,0.859788
37,0.185633,0.177489,0.811807
38,0.199241,0.131099,0.847235
39,0.212020,0.133798,0.858040
40,0.194287,0.130577,0.860035
41,0.182354,0.125226,0.861268
